"Selected Filters: All States | FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)"
""
"Total Funding: $1,316,374,135"
"Number of Grants: 1,387"

"Grantee Name","Grant Number","Program Name","City","State","ZIP Code","County","Congressional District","Award Fiscal Year","Award Funding"
"Lifecare Family Health And Dental Center, Inc","H8DCS36668","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Canton","OH","44707-2769","Stark","OH-07","2020","$643,760"
"Lifelong Medical Care","H8DCS35642","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Berkeley","CA","94710-2412","Alameda","CA-13","2020","$1,808,675"
"Lifespring Inc.","H8DCS35684","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Jeffersonville","IN","47130-3452","Clark","IN-09","2020","$587,660"
"Lincoln Community Health Center, Incorporated","H8DCS36490","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Durham","NC","27707-2325","Durham","NC-01","2020","$1,572,935"
"Lincoln County Community Health Center","H8DCS35864","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Libby","MT","59923-2010","Lincoln","MT-00","2020","$659,900"
"Lincoln County Primary Care Center, Inc.","H8DCS35830","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Hamlin","WV","25523-1138","Lincoln","WV-03","2020","$815,000"
"Lincoln, County Of","H8DCS35810","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Newport","OR","97365-3821","Lincoln","OR-05","2020","$608,360"
"Little River Medical Center, Inc.","H8DCS36268","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Little River","SC","29566-9138","Horry","SC-07","2020","$1,356,230"
"Little Rivers Health Care, Inc.","H8DCS36214","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Bradford","VT","05033-4456","Orange","VT-00","2020","$594,125"
"Livingston Community Health","H8DCS35635","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Livingston","CA","95334-9593","Merced","CA-16","2020","$881,000"
"Lone Star Circle Of Care","H8DCS36475","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Georgetown","TX","78626-6821","Williamson","TX-31","2020","$2,473,925"
"Lone Star Community Health Center, Inc","H8DCS36449","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Conroe","TX","77304-4722","Montgomery","TX-08","2020","$1,152,230"
"Long Valley Health Center","H8DCS35512","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Laytonville","CA","95454","Mendocino","CA-02","2020","$559,460"
"Longview Wellness Center, Inc.","H8DCS36465","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Longview","TX","75601-5602","Gregg","TX-01","2020","$1,079,330"
"Lorain County Health & Dentistry","H8DCS36672","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Lorain","OH","44052-3409","Lorain","OH-09","2020","$783,230"
"Los Angeles Christian Health Centers","H8DCS35620","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Los Angeles","CA","90013-1519","Los Angeles","CA-34","2020","$776,315"
"Los Angeles Free Clinic., The","H8DCS36147","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Los Angeles","CA","90048-3401","Los Angeles","CA-33","2020","$994,535"
"Los Angeles Lgbt Center","H8DCS35757","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Los Angeles","CA","90028-6213","Los Angeles","CA-28","2020","$915,920"
"Los Barrios Unidos Community Clinic, Inc.","H8DCS36462","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Dallas","TX","75212-4014","Dallas","TX-33","2020","$1,376,540"
"Loudoun Community Health Center","H8DCS36726","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Leesburg","VA","20176-4420","Loudoun","VA-10","2020","$870,035"
"Low Country Health Care System, Inc.","H8DCS36284","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Fairfax","SC","29827-7109","Allendale","SC-06","2020","$854,060"
"Lowell Community Health Center, Inc.","H8DCS35482","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Lowell","MA","01852-2103","Middlesex","MA-03","2020","$1,052,420"
"Lower Lights Christian Health Center Inc","H8DCS36669","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Columbus","OH","43222-1352","Franklin","OH-03","2020","$786,995"
"Lutheran Social Services Of Central Ohio","H8DCS36659","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Worthington","OH","43085-2283","Franklin","OH-12","2020","$566,030"
"Lynn Community Health, Inc.","H8DCS35471","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Lynn","MA","01901-1314","Essex","MA-06","2020","$1,288,115"
"M.G.H. Family Health Center","H8DCS36295","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Muskegon","MI","49444-1207","Muskegon","MI-02","2020","$141,843"
"Macoupin, County Of","H8DCS36161","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Carlinville","IL","62626-1075","Macoupin","IL-13","2020","$652,715"
"Maine Mobile Health Program, Inc","H8DCS36306","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Augusta","ME","04330-7451","Kennebec","ME-01","2020","$553,700"
"Mainline Health Systems Inc","H8DCS35415","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Portland","AR","71663-9230","Ashley","AR-04","2020","$784,805"
"Manchester, City Of","H8DCS36292","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Manchester","NH","03101-1356","Hillsborough","NH-01","2020","$541,415"
"Manet Community Health Center, Incorporated","H8DCS35460","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Quincy","MA","02171-2122","Norfolk","MA-08","2020","$767,540"
"Maniilaq Association","H8DCS35372","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Kotzebue","AK","99752","Northwest Arctic","AK-00","2020","$633,050"
"Mantachie Rural Health Care Inc","H8DCS36077","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Mantachie","MS","38855-7632","Itawamba","MS-01","2020","$594,320"
"Maple City Health Care Center, Inc.","H8DCS35664","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Goshen","IN","46528-2956","Elkhart","IN-02","2020","$658,265"
"Marana Health Center, Inc.","H8DCS35430","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Marana","AZ","85653-7008","Pima","AZ-01","2020","$1,572,515"
"Marias Healthcare Services Inc","H8DCS35879","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Shelby","MT","59474-1663","Toole","MT-00","2020","$616,070"
"Maricopa County Special Health Care District","H8DCS35433","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Phoenix","AZ","85008-4973","Maricopa","AZ-07","2020","$2,389,132"
"Marillac Clinic, Inc.","H8DCS35913","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Grand Junction","CO","81501-2001","Mesa","CO-03","2020","$768,875"
"Marillac Community Health Centers","H8DCS35829","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","New Orleans","LA","70118-4307","Orleans","LA-02","2020","$1,429,895"
"Marin City Health And Wellness Center","H8DCS35777","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","San Rafael","CA","94903-3437","Marin","CA-02","2020","$573,380"
"Marin Community Clinic","H8DCS35586","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Novato","CA","94949-6137","Marin","CA-02","2020","$1,327,265"
"Mariposa Community Health Center, Inc.","H8DCS35443","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Nogales","AZ","85621-2385","Santa Cruz","AZ-03","2020","$917,315"
"Martin Luther King Jr Family Clinic Inc","H8DCS36502","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Dallas","TX","75215-2321","Dallas","TX-30","2020","$647,105"
"Martinsville Henry County Coalition For Health And Wellness","H8DCS36736","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Martinsville","VA","24112-6208","Martinsville City","VA-09","2020","$637,205"
"Mary'S Center For Maternal And Child Care, Inc.","H8DCS35980","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Washington","DC","20009-2627","District of Columbia","DC-98","2020","$1,611,785"
"Massachusetts League Of Community Health Centers Inc","H8DCS35483","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Boston","MA","02108-2212","Suffolk","MA-08","2020","$568,745"
"Mat Su Health Services Inc","H8DCS35384","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Wasilla","AK","99654-5327","Matanuska-Susitna","AK-00","2020","$567,755"
"Matagorda Episcopal Health Outreach Program Corporation","H8DCS36507","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Bay City","TX","77414-3167","Matagorda","TX-27","2020","$721,475"
"Mattapan Community Health Center, Inc.","H8DCS35485","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Mattapan","MA","02126-2122","Suffolk","MA-07","2020","$679,325"
"Matthew Walker Comprehensive Health Center, Inc.","H8DCS36046","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Nashville","TN","37208-3050","Davidson","TN-05","2020","$1,089,650"
"Maury Regional Hospital","H8DCS36026","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Columbia","TN","38401-4802","Maury","TN-07","2020","$781,820"
"Mccloud Healthcare Clinic, Inc.","H8DCS35806","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Mccloud","CA","96057","Siskiyou","CA-01","2020","$567,755"
"Mckinney Medical Center, Inc.","H8DCS36158","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Waycross","GA","31501-3547","Ware","GA-01","2020","$747,335"
"Mcr Health, Inc.","H8DCS36090","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Palmetto","FL","34221-4737","Manatee","FL-16","2020","$2,794,715"
"Med Centro, Inc.","H8DCS36518","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Ponce","PR","00716-1115","Ponce","PR-98","2020","$1,415,990"
"Medical Resource Center For Randolph County, Inc.","H8DCS36366","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Asheboro","NC","27203-3273","Randolph","NC-06","2020","$602,870"
"Medina, County Of","H8DCS36693","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Medina","OH","44256-7666","Medina","OH-16","2020","$591,365"
"Medlink Georgia, Inc","H8DCS36139","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Colbert","GA","30628-2445","Madison","GA-09","2020","$1,546,310"
"Memphis Health Center, Inc.","H8DCS36054","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Memphis","TN","38126-5310","Shelby","TN-09","2020","$1,038,170"
"Mendocino Coast Clinics, Inc.","H8DCS35656","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Fort Bragg","CA","95437-5540","Mendocino","CA-02","2020","$699,215"
"Mendocino Community Health Clinic, Inc.","H8DCS35630","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Ukiah","CA","95482-6540","Mendocino","CA-02","2020","$1,097,105"
"Mercy Health Services, Inc.","H8DCS36285","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Franklin","TN","37064-1312","Williamson","TN-07","2020","$717,935"
"Meridian Education Resource Group, Inc.","H8DCS36154","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Atlanta","GA","30317-1743","DeKalb","GA-05","2020","$565,940"
"Meridian Health Services Corp.","H8DCS35681","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Muncie","IN","47304-3988","Delaware","IN-06","2020","$953,795"
"Metro Community Provider Network, Inc.","H8DCS35906","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Denver","CO","80224-2522","Denver","CO-01","2020","$1,880,765"
"Metropolitan Community Health","H8DCS36384","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Washington","NC","27889-4934","Beaufort","NC-03","2020","$629,720"
"Metropolitan Family Health Network Inc.","H8DCS36377","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Jersey City","NJ","07304-2731","Hudson","NJ-10","2020","$792,425"
"Miami Beach Community Health Center Inc.","H8DCS35991","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Miami Beach","FL","33139-5504","Miami-Dade","FL-27","2020","$1,780,760"
"Mid-Delta Health Systems Inc","H8DCS35413","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Clarendon","AR","72029-2706","Monroe","AR-01","2020","$557,180"
"Mid-State Health Center","H8DCS36235","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Plymouth","NH","03264-3170","Grafton","NH-02","2020","$698,705"
"Midland Community Healthcare Services","H8DCS36457","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Midland","TX","79703-4522","Midland","TX-11","2020","$983,375"
"Midmichigan Health Services","H8DCS35500","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Houghton Lake","MI","48629-9602","Roscommon","MI-04","2020","$779,960"
"Midtown Community Health Center, Inc.","H8DCS35887","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Ogden","UT","84401-1511","Weber","UT-01","2020","$1,335,215"
"Midtown Health Center, Inc.","H8DCS35891","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Norfolk","NE","68701-5248","Madison","NE-01","2020","$668,870"
"Migrant Health Center Western Region, Inc.","H8DCS36536","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Sábalos","PR","00680","Mayaguez","PR-98","2020","$996,275"
"Milwaukee Health Services, Inc.","H8DCS35579","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Milwaukee","WI","53212-2709","Milwaukee","WI-04","2020","$794,630"
"Ministry Of Health In The Repu Blic Of The Marshall Islands","H8DCS36546","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Delap-Uliga-Djarrit","MH","96960","Majuro","MH-99","2020","$853,055"
"Minnie Hamilton Health Care Center","H8DCS35878","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Grantsville","WV","26147-7100","Calhoun","WV-02","2020","$728,285"
"Mission Area Health Associates","H8DCS35513","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","San Francisco","CA","94110-1323","San Francisco","CA-12","2020","$798,245"
"Mission City Community Network, Inc.","H8DCS35715","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","North Hills","CA","91343-5305","Los Angeles","CA-29","2020","$1,291,865"
